gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
BAHCC1	3216151	268	24	8189779	2690387	0	26	20	0	4	36	4574732	1.000000e+00	1
ISL1	27991	1083	-28	1184312	314758	0	7	4	0	8	222	8371909	1.000000e+00	1
TMEM196	187539	874	-4	575344	171389	0	5	6	0	0	6	171389	1.000000e+00	1
ARHGAP33	1151198	321	30	4105397	1420147	0	29	18	0	0	18	1420147	1.000000e+00	1
SLC8A1	39449	706	-11	3366136	934934	0	62	35	0	1	37	1132942	1.000000e+00	1
PRDM10	631721	248	1	3951287	1088110	0	13	13	0	0	13	1088110	1.000000e+00	1
PTGIR	1139694	347	28	1211398	426371	0	7	9	0	1	11	548258	1.000000e+00	1
RGS8	650082	702	23	720114	187734	0	14	8	0	0	8	187734	1.000000e+00	1
FER	140251	741	20	2880456	682287	0	5	3	0	10	78	8631094	1.000000e+00	1
FCRL4	232460	820	28	1733504	496888	0	27	16	0	0	16	496888	1.000000e+00	1
ALDH3B2	1408104	424	60	1297793	369397	0	10	12	0	0	12	369397	1.000000e+00	1
ACTR3B	190917	535	5	1440695	382006	0	5	6	0	0	6	382006	1.000000e+00	1
IFT172	1218835	179	39	6009356	1614886	0	18	13	0	1	13	1886680	1.000000e+00	1
SERPINB8	114875	671	26	1301996	323164	0	8	5	0	0	5	323164	1.000000e+00	1
DYNLL2	857807	352	11	318494	70984	0	1	2	0	0	2	70984	1.000000e+00	1
DTX1	562320	387	44	2007633	647262	0	9	10	0	1	10	768682	1.000000e+00	1
CHKA	1168866	251	63	1570988	415630	0	2	4	0	6	44	3460937	1.000000e+00	1
A4GNT	190056	464	9	1132475	311956	0	4	5	0	0	5	311956	1.000000e+00	1
PXDN	55677	536	-18	4910038	1436492	0	33	22	0	1	29	2428867	1.000000e+00	1
FIBIN	176115	648	-17	692094	198942	0	14	9	0	0	9	198942	1.000000e+00	1
ZNF578	547660	989	-53	2023511	477274	0	26	12	0	0	12	477274	1.000000e+00	1
OR11H6	371813	563	-29	1058689	331103	0	21	15	0	1	36	672480	1.000000e+00	1
TMEM150C	712807	493	17	858813	231165	0	5	5	0	0	5	231165	1.000000e+00	1
GP5	324325	269	27	1745646	617841	0	11	10	0	0	10	617841	1.000000e+00	1
KIF24	596029	186	43	4529900	1291255	0	2	5	0	1	11	2681514	1.000000e+00	1
OR5I1	4262	1044	-40	1021329	301215	0	12	9	0	4	64	1611617	1.000000e+00	1
KIAA1462	184440	520	12	4429028	1303864	0	83	35	0	1	40	1512146	1.000000e+00	1
OR9A4	198115	856	-6	1020395	303550	0	33	19	0	1	30	457660	1.000000e+00	1
MYO5C	534690	195	24	6067731	1482258	0	46	24	0	1	28	1723230	1.000000e+00	1
KCNMA1	116099	807	3	4404277	1184312	0	26	15	0	12	67	5129061	1.000000e+00	1
OR2T10	116628	850	-20	1020395	293743	0	17	15	0	1	26	610369	1.000000e+00	1
TBC1D10C	1269888	177	51	1450035	479142	0	8	9	0	0	9	479142	1.000000e+00	1
PCDHGB2	662513	568	2	3005145	944274	0	33	13	0	1	37	1889949	1.000000e+00	1
TRPM6	95662	726	-16	6990056	1787209	0	84	38	0	0	38	1787209	1.000000e+00	1
OR11H4	371637	528	-29	1042811	321763	0	12	10	0	0	10	321763	1.000000e+00	1
PM20D1	699823	377	35	1699880	484279	0	11	9	0	0	9	484279	1.000000e+00	1
OR12D3	329776	872	7	1032070	303083	0	12	10	0	3	41	1243621	1.000000e+00	1
OR1E2	365088	515	14	1044212	316159	0	2	6	0	2	19	956883	1.000000e+00	1
FYB	171734	367	-6	2841228	748134	0	39	18	0	1	31	1099318	1.000000e+00	1
ZNF556	1287128	291	27	1541567	398818	0	25	15	0	0	15	398818	1.000000e+00	1
SFMBT1	1008757	282	50	2971054	779423	0	10	8	0	3	18	1794214	1.000000e+00	1
OR6C75	667726	802	-14	1012923	301215	0	21	13	0	3	66	1182911	1.000000e+00	1
TCP10L2	NaN	NaN	NaN	1183845	341844	0	4	5	0	0	5	341844	1.000000e+00	1
CLSTN2	93930	998	9	3247518	860214	0	46	21	0	1	33	1383721	1.000000e+00	1
TRAF1	645995	270	39	1384655	401620	0	6	9	0	0	9	401620	1.000000e+00	1
MYO9B	945446	330	36	7223556	2081886	0	19	16	0	5	53	6143852	1.000000e+00	1
FAT3	32222	1011	-33	14964081	4330491	0	218	83	0	0	83	4330491	1.000000e+00	1
PMFBP1	443927	479	0	3585159	847605	0	47	23	0	1	24	951746	1.000000e+00	1
GRM4	1013590	629	35	2986465	901310	0	31	21	0	0	21	901310	1.000000e+00	1
GRAMD1A	821282	419	-46	2440075	713576	0	10	10	0	0	10	713576	1.000000e+00	1
AMPD2	989433	201	29	2982262	863483	0	9	16	0	4	21	1695210	1.000000e+00	1
CYP4B1	658240	475	8	1747047	473538	0	34	23	0	0	23	473538	1.000000e+00	1
UROC1	289633	508	52	2498450	714043	0	21	19	0	1	22	858813	1.000000e+00	1
EDARADD	482656	589	11	794367	190536	0	8	5	0	3	58	1621424	1.000000e+00	1
C10orf113	NaN	NaN	NaN	573009	142902	0	12	8	0	0	8	142902	1.000000e+00	1
HTR3E	1453689	334	42	1571922	451122	0	17	13	0	0	13	451122	1.000000e+00	1
UGT1A1	NaN	NaN	NaN	1758255	511365	0	8	7	0	0	7	511365	1.000000e+00	1
PDZD2	440207	557	6	9216245	2849167	0	74	38	0	7	71	5211720	1.000000e+00	1
MAGEB6	34143	NaN	-38	1320209	400219	0	26	17	0	0	17	400219	1.000000e+00	1
DVL1	1744013	273	28	2234128	667343	0	3	9	0	1	13	1473385	1.000000e+00	1
STAP2	2122615	220	27	1527557	436645	0	3	6	0	9	146	9799995	1.000000e+00	1
MAGEA12	NaN	NaN	NaN	1021796	307753	0	21	17	0	0	17	307753	1.000000e+00	1
TRPM8	297512	527	14	3787370	997045	0	36	16	0	0	16	997045	1.000000e+00	1
DOCK2	94542	680	33	6411443	1572856	0	55	23	0	0	23	1572856	1.000000e+00	1
RBPMS2	803907	264	47	707505	214353	0	6	6	0	0	6	214353	1.000000e+00	1
TLN2	315754	568	15	8513877	2482572	0	43	31	0	0	31	2482572	1.000000e+00	1
APOL3	1228837	331	13	1303397	404422	0	12	9	0	0	9	404422	1.000000e+00	1
ADAMTS6	275284	480	5	3858821	969025	0	65	31	0	0	31	969025	1.000000e+00	1
PFKFB3	560233	399	38	1809625	483812	0	3	6	0	6	38	3240980	1.000000e+00	1
PCDH19	128045	NaN	-15	3723858	1133409	0	23	18	0	3	34	2468095	1.000000e+00	1
ANKRD22	175425	289	26	659871	175125	0	9	8	0	0	8	175125	1.000000e+00	1
ULK1	374096	180	23	3483820	1084841	0	18	15	0	3	55	3687899	1.000000e+00	1
PARS2	578299	343	23	1533161	473071	0	1	8	0	2	18	1637302	1.000000e+00	1
PCDHA12	NaN	NaN	NaN	3017754	969492	0	44	22	0	0	22	969492	1.000000e+00	1
STXBP4	132396	845	-50	1910964	507162	0	10	6	0	1	16	935401	1.000000e+00	1
PTPRF	996816	182	33	6315708	1882944	0	40	26	0	0	26	1882944	1.000000e+00	1
APOBEC1	237142	672	14	818651	202678	0	8	8	0	2	24	700500	1.000000e+00	1
MAOB	66825	NaN	22	1776935	491284	0	13	9	0	0	9	491284	1.000000e+00	1
PID1	105238	675	-12	877026	231165	0	19	12	0	0	12	231165	1.000000e+00	1
CSK	746043	199	41	1538765	424036	0	3	5	0	1	16	917188	1.000000e+00	1
PHF8	830265	NaN	30	3768690	1040943	0	9	8	0	4	21	2355548	1.000000e+00	1
PIWIL4	367057	478	6	2924354	767281	0	11	9	0	0	9	767281	1.000000e+00	1
CHRDL2	521541	204	40	1539232	424970	0	8	11	0	1	21	1114729	1.000000e+00	1
FAM135A	114193	606	11	5235537	1357569	0	16	7	0	2	17	2113642	1.000000e+00	1
ASPH	423823	377	14	3511840	832661	0	10	7	0	0	7	832661	1.000000e+00	1
SIAH3	820469	632	51	883564	259652	0	11	10	0	0	10	259652	1.000000e+00	1
OR8B8	171093	824	-10	1013390	296545	0	16	13	0	6	167	3351192	1.000000e+00	1
HNF1B	553994	403	28	1870802	519304	0	17	13	0	1	34	1166099	1.000000e+00	1
ARSI	954044	220	46	1827371	573943	0	5	6	0	0	6	573943	1.000000e+00	1
SPATA13	255006	569	36	4221680	1211398	0	5	5	0	4	16	2820213	1.000000e+00	1
TMCO3	768219	318	50	2251407	665475	0	3	10	0	11	48	4353841	1.000000e+00	1
ZNF16	1539444	440	23	2295305	586552	0	8	7	0	0	7	586552	1.000000e+00	1
JRK	384374	412	23	1924974	595425	0	1	4	0	0	4	595425	1.000000e+00	1
SLC6A8	1716845	NaN	44	2117378	622978	0	1	5	0	9	49	5963123	1.000000e+00	1
GRID2	4518	1143	-17	3373608	945675	0	74	35	0	0	35	945675	1.000000e+00	1
OR5D13	4183	1091	-36	1025532	297012	0	26	27	0	4	101	1534562	1.000000e+00	1
KCNG1	449718	474	23	1641972	529578	0	14	18	0	0	18	529578	1.000000e+00	1
PCDHB15	800016	708	-15	2482572	829392	0	34	26	0	2	55	1948791	1.000000e+00	1
PRAMEF19	NaN	NaN	NaN	3144778	918122	0	27	19	0	0	19	918122	1.000000e+00	1
DUSP27	287664	611	-1	3829400	1064293	0	63	28	0	3	56	2205174	1.000000e+00	1
AR	106188	NaN	-7	3041104	899909	0	18	11	0	0	11	899909	1.000000e+00	1
OR2M4	18846	936	-35	1005451	304484	0	22	18	0	4	81	1463111	1.000000e+00	1
ITPR3	1401905	205	38	9072876	2476968	0	24	23	0	20	195	21406813	1.000000e+00	1
PDGFRB	1065098	228	49	3700041	1075968	0	33	22	0	2	34	1698479	1.000000e+00	1
HECA	202042	674	13	1789077	514167	0	3	7	0	2	19	1692408	1.000000e+00	1
HIPK2	545030	522	37	3955957	1161896	0	18	15	0	1	17	1454238	1.000000e+00	1
CCDC63	888826	474	46	1951126	483812	0	21	14	0	0	14	483812	1.000000e+00	1
SEC16A	1413299	233	44	7727916	2350878	0	27	14	0	8	42	6085944	1.000000e+00	1
POLK	253484	500	54	3010749	728520	0	5	3	0	6	32	3993317	1.000000e+00	1
TRO	244459	NaN	-8	4809166	1478522	0	12	11	0	2	16	2104769	1.000000e+00	1
OR1L8	407749	646	9	997979	304951	0	26	23	0	3	69	1269306	1.000000e+00	1
C1orf158	141239	571	18	658937	177460	0	14	9	0	3	66	1226342	1.000000e+00	1
TLR3	355117	414	-13	3012150	813981	0	20	13	0	2	17	1181977	1.000000e+00	1
IRS4	110759	NaN	29	4006860	1286118	0	14	8	0	1	15	1870335	1.000000e+00	1
TGFBR2	80018	417	-9	1998760	532847	0	9	6	0	2	10	684622	1.000000e+00	1
TFDP1	729832	370	53	1412675	376402	0	2	4	0	0	4	376402	1.000000e+00	1
ACTA1	243405	361	29	1268839	353519	0	5	5	0	0	5	353519	1.000000e+00	1
CDH2	43239	931	-16	3043906	852275	0	30	12	0	6	85	4079245	1.000000e+00	1
TRIM71	507311	469	24	2773046	898975	0	16	22	0	0	22	898975	1.000000e+00	1
GIMAP5	734961	689	14	1018994	286738	0	26	21	0	2	57	882630	1.000000e+00	1
PAIP2B	349503	464	30	445985	91999	0	2	2	0	0	2	91999	1.000000e+00	1
ZNF516	113406	813	18	3743939	1172170	0	20	15	0	3	60	4930119	1.000000e+00	1
CCDC7	602870	482	2	1741443	400686	0	18	9	0	0	9	400686	1.000000e+00	1
CYP2C8	318306	717	-10	1666256	445051	0	44	22	0	0	22	445051	1.000000e+00	1
PALM	1914670	200	23	1283783	391813	0	3	5	0	0	5	391813	1.000000e+00	1
ADAM29	49942	889	-36	2735686	714977	0	71	31	0	0	31	714977	1.000000e+00	1
KLK4	581408	606	29	851808	242373	0	8	8	0	4	52	1383254	1.000000e+00	1
ACSM5	181483	823	6	1946456	564136	0	23	18	0	0	18	564136	1.000000e+00	1
SLN	322905	676	-5	109745	30355	0	1	3	0	0	3	30355	1.000000e+00	1
NLRP12	783610	486	-58	3597768	1053552	0	61	32	0	1	43	1646642	1.000000e+00	1
SLA2	1019481	176	62	912051	228363	0	11	8	0	0	8	228363	1.000000e+00	1
OR52E6	203856	922	-5	1018527	298413	0	25	22	0	3	71	1230545	1.000000e+00	1
LAMA5	1090360	252	21	12206913	3772893	0	58	39	0	0	39	3772893	1.000000e+00	1
MYO3A	63308	873	-6	5571777	1409406	0	81	37	0	0	37	1409406	1.000000e+00	1
PANX1	367552	774	-16	1419680	397417	0	4	6	0	1	12	852275	1.000000e+00	1
CACNA1D	514645	578	42	7583613	2007633	0	53	31	0	1	31	2186027	1.000000e+00	1
ECT2L	336688	610	20	3116758	794834	0	13	9	0	0	9	794834	1.000000e+00	1
IL1RAPL2	17392	NaN	-4	2344807	598694	0	29	12	0	0	12	598694	1.000000e+00	1
ZDBF2	328087	597	18	7864747	2050130	0	109	42	0	1	43	2194433	1.000000e+00	1
GLP2R	76286	212	-53	1863797	531913	0	21	15	0	0	15	531913	1.000000e+00	1
HEPACAM	283718	743	13	1353366	432909	0	10	11	0	0	11	432909	1.000000e+00	1
OR5L1	4183	1091	-36	1001715	309621	0	20	16	0	4	101	1534562	1.000000e+00	1
OR2T12	18846	936	-35	1031136	316626	0	25	20	0	4	81	1463111	1.000000e+00	1
SEZ6L2	NaN	NaN	NaN	3011683	967157	0	22	16	0	0	16	967157	1.000000e+00	1
NPY2R	49938	944	-5	1240352	370798	0	23	19	0	0	19	370798	1.000000e+00	1
OR10H3	878287	605	13	1025532	304017	0	15	14	0	1	30	631384	1.000000e+00	1
CIT	905544	436	24	6934016	1847452	0	32	20	0	2	35	3327375	1.000000e+00	1
DCAF12L2	11596	NaN	-29	1465913	484279	0	10	13	0	9	188	7722779	1.000000e+00	1
KRT15	1445853	325	-22	1513080	446919	0	18	14	0	0	14	446919	1.000000e+00	1
ZNF461	627070	922	-29	1954395	444117	0	2	3	0	3	17	1768529	1.000000e+00	1
PRDM1	162338	278	44	2746894	773819	0	28	16	0	0	16	773819	1.000000e+00	1
SPTAN1	1917687	197	43	8552171	2176687	0	14	18	0	7	34	5722618	1.000000e+00	1
GLDC	213479	411	26	3474947	950812	0	11	12	0	7	33	3360065	1.000000e+00	1
PODN	491749	391	14	2140261	700967	0	11	11	0	2	31	1601343	1.000000e+00	1
AKAP6	127586	715	-10	7734921	2088891	0	57	22	0	0	22	2088891	1.000000e+00	1
DMRTA1	160489	448	-26	1593404	534715	0	3	6	0	0	6	534715	1.000000e+00	1
PAPPA	69253	553	-19	5441484	1518684	0	99	46	0	0	46	1518684	1.000000e+00	1
EPB41L4A	164575	671	28	2403649	607100	0	21	17	0	1	19	807443	1.000000e+00	1
ERBB2IP	400865	189	32	4687279	1208129	0	8	6	0	0	6	1208129	1.000000e+00	1
LARS2	439463	363	38	3078931	832661	0	9	8	0	1	10	997979	1.000000e+00	1
FER1L6	453048	561	15	6366611	1666723	0	96	47	0	2	65	2219651	1.000000e+00	1
SERPINA10	203903	744	-1	1481791	410960	0	41	25	0	1	46	792032	1.000000e+00	1
SEMA4F	964055	364	41	2500318	813047	0	7	9	0	2	15	1124069	1.000000e+00	1
TFCP2L1	240173	568	9	1660652	438046	0	14	13	0	0	13	438046	1.000000e+00	1
SLC12A8	372775	150	47	2366289	711708	0	19	18	0	0	18	711708	1.000000e+00	1
KCNH5	68312	704	-32	3353994	906447	0	94	53	0	0	53	906447	1.000000e+00	1
ADIPOR1	421206	389	30	1260433	359123	0	8	7	0	0	7	359123	1.000000e+00	1
SLC35F3	277114	649	1	1623759	479142	0	34	24	0	0	24	479142	1.000000e+00	1
NRP2	278279	567	5	3472145	966223	0	17	16	0	4	50	3167194	1.000000e+00	1
CSMD1	10896	1290	-36	11878612	3229772	0	303	126	0	4	167	4532702	1.000000e+00	1
SLC22A10	1307417	572	17	1791412	537050	0	30	24	0	0	24	537050	1.000000e+00	1
SERPINA5	316239	858	10	1352899	380138	0	18	21	0	2	56	1186647	1.000000e+00	1
RRP12	892254	188	39	4368318	1272108	0	12	8	0	2	16	2063206	1.000000e+00	1
IL1RN	672307	479	25	701901	176526	0	9	8	0	1	22	318494	1.000000e+00	1
LHFPL5	621095	404	34	730388	211084	0	8	9	0	0	9	211084	1.000000e+00	1
MMP20	530118	436	17	1648510	438980	0	9	8	0	0	8	438980	1.000000e+00	1
CAMK4	192731	767	29	1606480	444584	0	26	21	0	0	21	444584	1.000000e+00	1
IL1B	578617	298	38	940071	228363	0	12	13	0	1	18	464665	1.000000e+00	1
OR6C65	667726	802	-14	1022730	290007	0	20	21	0	3	66	1182911	1.000000e+00	1
PROKR1	260004	596	12	1281915	376869	0	13	9	0	2	36	1217002	1.000000e+00	1
AAK1	639466	309	35	3229772	925594	0	8	6	0	2	31	3295619	1.000000e+00	1
DIO3	1315103	577	-26	972761	309154	0	12	10	0	0	10	309154	1.000000e+00	1
HDAC6	823539	NaN	29	4036281	1231479	0	8	8	0	9	28	3862557	1.000000e+00	1
SSR2	1880483	213	32	610836	187734	0	2	5	0	0	5	187734	1.000000e+00	1
PVALB	1248441	537	35	396950	91999	0	3	4	0	0	4	91999	1.000000e+00	1
MSLN	1187310	273	39	2058536	683221	0	14	14	0	0	14	683221	1.000000e+00	1
LLGL2	1907659	195	31	3480551	1036273	0	25	18	0	0	18	1036273	1.000000e+00	1
SLC27A5	2673870	276	11	2216382	738327	0	16	15	0	0	15	738327	1.000000e+00	1
SEC24B	202883	438	21	4233822	1231479	0	9	11	0	4	35	3520713	1.000000e+00	1
MAST2	1003923	416	24	5903347	1817564	0	13	10	0	1	18	2999074	1.000000e+00	1
ATAD3B	1714469	248	27	2165946	648663	0	7	7	0	0	7	648663	1.000000e+00	1
WDTC1	854040	162	27	2297640	631851	0	6	7	0	1	10	949878	1.000000e+00	1
FBXL7	13845	956	-27	1587333	497355	0	16	17	0	2	30	1066161	1.000000e+00	1
FBN2	226750	605	9	10126895	2475100	0	80	28	0	0	28	2475100	1.000000e+00	1
OR51L1	97256	1024	-11	1006385	318961	0	29	22	0	2	59	860681	1.000000e+00	1
GOLGA3	861960	601	21	5156147	1457974	0	15	9	0	0	9	1457974	1.000000e+00	1
DERL1	470881	412	33	867686	230698	0	2	4	0	1	11	543121	1.000000e+00	1
ATP11C	66616	NaN	18	3977439	1040943	0	14	10	0	0	10	1040943	1.000000e+00	1
MAPK13	855485	410	35	1266504	336240	0	8	11	0	2	22	885899	1.000000e+00	1
PSD	975992	178	39	3312898	1084841	0	29	21	0	1	22	1354767	1.000000e+00	1
KIF26A	655915	468	32	5888403	2104302	0	25	17	0	6	33	3804182	1.000000e+00	1
MYH7B	968413	236	40	6672029	1907695	0	38	21	0	3	32	3546398	1.000000e+00	1
PCDHA9	896676	606	-12	3167194	1033004	0	45	34	0	10	248	8867396	1.000000e+00	1
RSPO4	779522	586	27	790164	222759	0	5	5	0	0	5	222759	1.000000e+00	1
OR13F1	146816	930	-33	1028801	313357	0	20	19	0	6	127	2171083	1.000000e+00	1
IL17RA	183789	639	-103	2851502	859747	0	6	7	0	3	24	2074881	1.000000e+00	1
EGFR	423489	336	-13	4432297	1170302	0	35	23	0	0	23	1170302	1.000000e+00	1
EPB41L3	57432	1036	-5	3658945	1037207	0	8	11	0	1	24	1855858	1.000000e+00	1
OR5B3	475497	835	-29	1025065	296078	0	20	13	0	2	40	894305	1.000000e+00	1
TOX3	62431	993	-53	2014638	557598	0	12	9	0	4	48	2802000	1.000000e+00	1
PAAF1	544325	159	44	1342625	373600	0	6	6	0	0	6	373600	1.000000e+00	1
MN1	107535	256	-110	4197863	1359904	0	18	13	0	2	25	2078150	1.000000e+00	1
RAB3D	1385739	197	31	744398	202678	0	4	5	0	0	5	202678	1.000000e+00	1
ZNF285	715346	528	-44	2016506	484279	0	26	14	0	1	41	1188515	1.000000e+00	1
MARCO	152902	553	-2	1777402	502025	0	66	32	0	0	32	502025	1.000000e+00	1
LRRC8E	952640	320	27	2560561	800438	0	6	9	0	4	29	2440075	1.000000e+00	1
ZCWPW2	67695	922	-13	1262768	282535	0	6	6	0	11	133	5772587	1.000000e+00	1
TNPO2	1959466	226	29	3083601	827991	0	5	9	0	11	47	5528346	1.000000e+00	1
SOBP	288292	592	36	2821147	885899	0	8	7	0	2	16	1605546	1.000000e+00	1
PATE2	607531	493	3	407224	91532	0	6	4	0	0	4	91532	1.000000e+00	1
TKTL1	2436137	NaN	14	2009034	567405	0	4	7	0	1	12	913919	1.000000e+00	1
SLC4A4	216580	975	-4	3990048	1053552	0	21	12	0	0	12	1053552	1.000000e+00	1
OR10C1	404210	854	21	972761	341377	0	19	13	0	0	13	341377	1.000000e+00	1
CDC23	1127160	314	50	2061338	538918	0	5	5	0	0	5	538918	1.000000e+00	1
SULF2	266328	588	41	3000942	771951	0	17	12	0	1	15	1079237	1.000000e+00	1
BCORL1	389645	NaN	38	5716547	1862863	0	18	14	0	2	16	2091693	1.000000e+00	1
PCDHA5	896676	606	-12	3101347	989573	0	45	29	0	10	248	8867396	1.000000e+00	1
FMO2	440278	1004	-6	1611617	417031	0	26	17	0	0	17	417031	1.000000e+00	1
SLC26A6	1386275	212	37	2569434	790164	0	6	12	0	3	54	4716233	1.000000e+00	1
ATP6V1G3	105821	404	-16	495954	91065	0	8	4	0	0	4	91065	1.000000e+00	1
OR2T34	116628	850	-20	1029735	311022	0	20	15	0	2	41	921391	1.000000e+00	1
TAS2R3	200522	844	14	1029735	308220	0	3	8	0	4	33	1539232	1.000000e+00	1
XPNPEP1	248752	644	-31	2304178	611303	0	5	5	0	0	5	611303	1.000000e+00	1
SRRM4	116468	835	2	2031450	608034	0	20	16	0	0	16	608034	1.000000e+00	1
ETV3L	934232	423	32	1183378	360524	0	5	7	0	0	7	360524	1.000000e+00	1
NRAP	195180	587	1	6000950	1507009	0	45	21	0	2	22	1729768	1.000000e+00	1
XKR4	93897	925	-13	2116444	633719	0	27	26	0	1	30	856945	1.000000e+00	1
GFRA3	1219794	273	43	1336087	388544	0	13	11	0	0	11	388544	1.000000e+00	1
TTC31	1019591	315	50	1736306	522106	0	9	9	0	0	9	522106	1.000000e+00	1
C1orf87	66197	942	-13	1872203	488482	0	23	15	0	1	20	800905	1.000000e+00	1
ADCY10	534611	238	13	5588589	1361772	0	56	28	0	0	28	1361772	1.000000e+00	1
LAMA1	241772	228	-37	10427176	2851502	0	80	38	0	0	38	2851502	1.000000e+00	1
GLT6D1	362222	524	29	939604	247043	0	14	10	0	1	16	403488	1.000000e+00	1
RASSF6	351984	573	28	1306199	307753	0	15	8	0	0	8	307753	1.000000e+00	1
OR2T8	87551	993	-35	1001248	311489	0	16	13	0	0	13	311489	1.000000e+00	1
GTF2E2	489611	228	38	1007319	259185	0	6	5	0	0	5	259185	1.000000e+00	1
SYT13	173203	637	14	1392127	430574	0	13	11	0	0	11	430574	1.000000e+00	1
NCAPD3	270385	601	14	5117853	1372980	0	9	8	0	0	8	1372980	1.000000e+00	1
SPTBN2	1432488	187	46	7903975	2347142	0	26	21	0	13	78	10310426	1.000000e+00	1
GREB1	219132	360	21	6606182	1909096	0	35	27	0	4	50	4337963	1.000000e+00	1
RNF213	718251	198	24	17765614	4937591	0	46	30	0	3	42	6724333	1.000000e+00	1
ILDR1	524127	715	38	1672794	474939	0	48	25	0	0	25	474939	1.000000e+00	1
SLC1A6	961949	546	4	1830173	594958	0	24	19	0	2	34	972761	1.000000e+00	1
PLXNA2	258618	627	10	6300297	1838112	0	20	20	0	5	27	3663148	1.000000e+00	1
PTX4	1254229	256	34	1481324	520705	0	9	14	0	1	31	1420614	1.000000e+00	1
RGS21	123814	860	-26	541253	124222	0	9	6	0	0	6	124222	1.000000e+00	1
PABPC3	436184	650	30	2052465	606633	0	13	7	0	2	13	826590	1.000000e+00	1
SPATA21	813996	191	40	1585932	451122	0	14	9	0	0	9	451122	1.000000e+00	1
MYH7	1220544	456	29	6605715	1744245	0	85	53	0	1	55	1901624	1.000000e+00	1
AP3D1	1712606	216	30	4136686	1097450	0	8	9	0	1	13	1664388	1.000000e+00	1
B3GNT3	1216364	212	37	1191317	387610	0	12	14	0	1	15	531913	1.000000e+00	1
LRRK1	402246	363	12	6710323	1942253	0	26	23	0	1	25	2241133	1.000000e+00	1
ITGB8	207764	550	30	2638550	670612	0	26	14	0	1	37	1262301	1.000000e+00	1
C7orf57	127890	364	24	1015725	271794	0	5	5	0	0	5	271794	1.000000e+00	1
OR51T1	65798	1006	-15	1140414	350250	0	23	22	0	5	108	1905360	1.000000e+00	1
RPS6KA2	235623	646	9	2649291	728520	0	9	6	0	2	14	1180576	1.000000e+00	1
PALM2	276166	485	4	1408472	373600	0	4	3	0	2	31	1779737	1.000000e+00	1
RPS6KC1	226813	600	0	3607575	955482	0	14	8	0	4	21	1872203	1.000000e+00	1
NMBR	152447	513	-28	1279580	377803	0	16	12	0	0	12	377803	1.000000e+00	1
IFT140	1366033	256	35	4936190	1375315	0	13	16	0	2	19	1936649	1.000000e+00	1
ST8SIA3	298355	599	9	1274443	343712	0	19	13	0	0	13	343712	1.000000e+00	1
HIC2	NaN	NaN	NaN	1990821	609435	0	7	7	0	0	7	609435	1.000000e+00	1
VTI1A	232217	459	7	760743	194739	0	2	2	0	1	13	534715	1.000000e+00	1
NAALADL2	58421	1139	-15	2696925	724317	0	31	16	0	0	16	724317	1.000000e+00	1
HLCS	425948	486	61	2410654	689759	0	13	10	0	0	10	689759	1.000000e+00	1
TAS2R14	363803	644	2	1035806	299347	0	7	7	0	5	70	1831574	1.000000e+00	1
GBP6	441714	820	-2	2162677	558065	0	18	8	0	1	18	863483	1.000000e+00	1
ACTBL2	160055	456	3	1224474	362859	0	4	8	0	2	29	1406137	1.000000e+00	1
MPO	838530	401	15	2455019	742063	0	19	19	0	1	32	1429487	1.000000e+00	1
PRMT2	530282	377	28	1486928	393214	0	3	7	0	2	11	775687	1.000000e+00	1
GPR78	96216	471	31	1122668	418432	0	8	10	0	0	10	418432	1.000000e+00	1
EXTL3	403198	327	42	2984597	904579	0	16	17	0	0	17	904579	1.000000e+00	1
GRM5	158962	944	-23	3978840	1164231	0	27	21	0	6	42	2710001	1.000000e+00	1
RP1L1	99570	456	15	7682617	2425598	0	119	50	0	0	50	2425598	1.000000e+00	1
CNR1	172187	799	37	1538765	454858	0	17	19	0	1	33	913919	1.000000e+00	1
MRO	240974	355	12	1021329	264789	0	11	12	0	0	12	264789	1.000000e+00	1
ICAM4	1729517	200	31	1089978	200343	0	9	5	0	0	5	200343	1.000000e+00	1
AADACL3	145424	454	23	1174505	325966	0	13	13	0	1	28	721515	1.000000e+00	1
DUSP8	NaN	NaN	NaN	1977745	681353	0	3	6	0	0	6	681353	1.000000e+00	1
RTN1	298900	639	-2	2600723	800905	0	22	15	0	1	26	1095115	1.000000e+00	1
AGMAT	656850	162	31	1142282	375001	0	6	7	0	0	7	375001	1.000000e+00	1
KCNA5	160467	896	22	1934781	645861	0	18	19	0	2	28	1034872	1.000000e+00	1
CMA1	898202	411	17	822854	247510	0	9	8	0	0	8	247510	1.000000e+00	1
TNFRSF10A	633411	240	42	1562582	459061	0	11	11	0	1	16	785494	1.000000e+00	1
FMO5	NaN	NaN	NaN	1974009	512766	0	10	7	0	0	7	512766	1.000000e+00	1
PHKA2	182760	NaN	35	4216076	1158160	0	10	10	0	0	10	1158160	1.000000e+00	1
SLC5A6	1238919	230	39	2087023	664541	0	7	10	0	0	10	664541	1.000000e+00	1
MRC2	200276	280	-18	5031458	1351498	0	32	21	0	3	65	3925602	1.000000e+00	1
DLGAP2	99986	671	-37	3236777	926995	0	38	21	0	0	21	926995	1.000000e+00	1
C3orf20	540760	510	41	3016820	865351	0	35	18	0	0	18	865351	1.000000e+00	1
